,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,w0,w1,w2,w3,w4,w5,c_serial,c_high,c_low,c_close,c_time
0,165,Bear,1.1881,1.1875,1.1876,180,Bull,1.1851,1.1836,1.1838,196,Bear,1.1875,1.187,1.187,301,Bull,1.1789,1.1764,1.1787,303,Bear,1.1825,1.1805,1.1806,326,Bull,1.1775,1.1756,1.1767,2021-07-10 04:00:00,2021-07-12 19:00:00,2021-07-13 11:00:00,2021-07-19 20:00:00,2021-07-19 22:00:00,2021-07-20 21:00:00,330,1.1783,1.1774,1.1779,2021-07-21 01:00:00
1,165,Bear,1.1881,1.1875,1.1876,180,Bull,1.1851,1.1836,1.1838,196,Bear,1.1875,1.187,1.187,301,Bull,1.1789,1.1764,1.1787,303,Bear,1.1825,1.1805,1.1806,344,Bull,1.1764,1.1752,1.1761,2021-07-10 04:00:00,2021-07-12 19:00:00,2021-07-13 11:00:00,2021-07-19 20:00:00,2021-07-19 22:00:00,2021-07-21 15:00:00,350,1.1789,1.1762,1.1787,2021-07-21 21:00:00
2,344,Bull,1.1764,1.1752,1.1761,374,Bear,1.183,1.1797,1.1816,396,Bull,1.1768,1.1755,1.1762,504,Bear,1.1894,1.189,1.189,510,Bull,1.188,1.1875,1.1878,514,Bear,1.1909,1.1896,1.1897,2021-07-21 15:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-30 07:00:00,2021-07-30 13:00:00,2021-07-30 17:00:00,516,1.1905,1.1882,1.1883,2021-07-30 19:00:00
3,344,Bull,1.1764,1.1752,1.1761,374,Bear,1.183,1.1797,1.1816,441,Bull,1.1783,1.177,1.1778,504,Bear,1.1894,1.189,1.189,510,Bull,1.188,1.1875,1.1878,514,Bear,1.1909,1.1896,1.1897,2021-07-21 15:00:00,2021-07-22 21:00:00,2021-07-27 16:00:00,2021-07-30 07:00:00,2021-07-30 13:00:00,2021-07-30 17:00:00,516,1.1905,1.1882,1.1883,2021-07-30 19:00:00
4,344,Bull,1.1764,1.1752,1.1761,450,Bear,1.1841,1.1834,1.1834,475,Bull,1.1843,1.1772,1.1839,504,Bear,1.1894,1.189,1.189,510,Bull,1.188,1.1875,1.1878,514,Bear,1.1909,1.1896,1.1897,2021-07-21 15:00:00,2021-07-28 01:00:00,2021-07-29 02:00:00,2021-07-30 07:00:00,2021-07-30 13:00:00,2021-07-30 17:00:00,516,1.1905,1.1882,1.1883,2021-07-30 19:00:00
5,377,Bull,1.1769,1.1757,1.1763,393,Bear,1.1787,1.1774,1.1775,396,Bull,1.1768,1.1755,1.1762,504,Bear,1.1894,1.189,1.189,510,Bull,1.188,1.1875,1.1878,514,Bear,1.1909,1.1896,1.1897,2021-07-23 00:00:00,2021-07-23 16:00:00,2021-07-23 19:00:00,2021-07-30 07:00:00,2021-07-30 13:00:00,2021-07-30 17:00:00,516,1.1905,1.1882,1.1883,2021-07-30 19:00:00
6,396,Bull,1.1768,1.1755,1.1762,423,Bear,1.1817,1.1802,1.1808,441,Bull,1.1783,1.177,1.1778,504,Bear,1.1894,1.189,1.189,510,Bull,1.188,1.1875,1.1878,514,Bear,1.1909,1.1896,1.1897,2021-07-23 19:00:00,2021-07-26 22:00:00,2021-07-27 16:00:00,2021-07-30 07:00:00,2021-07-30 13:00:00,2021-07-30 17:00:00,516,1.1905,1.1882,1.1883,2021-07-30 19:00:00
7,396,Bull,1.1768,1.1755,1.1762,450,Bear,1.1841,1.1834,1.1834,475,Bull,1.1843,1.1772,1.1839,504,Bear,1.1894,1.189,1.189,510,Bull,1.188,1.1875,1.1878,514,Bear,1.1909,1.1896,1.1897,2021-07-23 19:00:00,2021-07-28 01:00:00,2021-07-29 02:00:00,2021-07-30 07:00:00,2021-07-30 13:00:00,2021-07-30 17:00:00,516,1.1905,1.1882,1.1883,2021-07-30 19:00:00
8,441,Bull,1.1783,1.177,1.1778,450,Bear,1.1841,1.1834,1.1834,475,Bull,1.1843,1.1772,1.1839,504,Bear,1.1894,1.189,1.189,510,Bull,1.188,1.1875,1.1878,514,Bear,1.1909,1.1896,1.1897,2021-07-27 16:00:00,2021-07-28 01:00:00,2021-07-29 02:00:00,2021-07-30 07:00:00,2021-07-30 13:00:00,2021-07-30 17:00:00,516,1.1905,1.1882,1.1883,2021-07-30 19:00:00
9,514,Bear,1.1909,1.1896,1.1897,585,Bull,1.1877,1.1842,1.1851,590,Bear,1.19,1.1887,1.1892,648,Bull,1.1755,1.1742,1.1748,661,Bear,1.1769,1.1759,1.1761,673,Bull,1.1738,1.1732,1.1738,2021-07-30 17:00:00,2021-08-04 16:00:00,2021-08-04 21:00:00,2021-08-09 07:00:00,2021-08-09 20:00:00,2021-08-10 08:00:00,676,1.174,1.1736,1.1739,2021-08-10 11:00:00
10,514,Bear,1.1909,1.1896,1.1897,610,Bull,1.1843,1.1828,1.1832,612,Bear,1.1857,1.1843,1.1855,648,Bull,1.1755,1.1742,1.1748,661,Bear,1.1769,1.1759,1.1761,673,Bull,1.1738,1.1732,1.1738,2021-07-30 17:00:00,2021-08-05 17:00:00,2021-08-05 19:00:00,2021-08-09 07:00:00,2021-08-09 20:00:00,2021-08-10 08:00:00,676,1.174,1.1736,1.1739,2021-08-10 11:00:00
11,539,Bear,1.1897,1.1887,1.1891,585,Bull,1.1877,1.1842,1.1851,590,Bear,1.19,1.1887,1.1892,648,Bull,1.1755,1.1742,1.1748,661,Bear,1.1769,1.1759,1.1761,673,Bull,1.1738,1.1732,1.1738,2021-08-02 18:00:00,2021-08-04 16:00:00,2021-08-04 21:00:00,2021-08-09 07:00:00,2021-08-09 20:00:00,2021-08-10 08:00:00,676,1.174,1.1736,1.1739,2021-08-10 11:00:00
12,564,Bear,1.1893,1.1885,1.1893,585,Bull,1.1877,1.1842,1.1851,590,Bear,1.19,1.1887,1.1892,648,Bull,1.1755,1.1742,1.1748,661,Bear,1.1769,1.1759,1.1761,673,Bull,1.1738,1.1732,1.1738,2021-08-03 19:00:00,2021-08-04 16:00:00,2021-08-04 21:00:00,2021-08-09 07:00:00,2021-08-09 20:00:00,2021-08-10 08:00:00,676,1.174,1.1736,1.1739,2021-08-10 11:00:00
13,590,Bear,1.19,1.1887,1.1892,610,Bull,1.1843,1.1828,1.1832,612,Bear,1.1857,1.1843,1.1855,648,Bull,1.1755,1.1742,1.1748,661,Bear,1.1769,1.1759,1.1761,673,Bull,1.1738,1.1732,1.1738,2021-08-04 21:00:00,2021-08-05 17:00:00,2021-08-05 19:00:00,2021-08-09 07:00:00,2021-08-09 20:00:00,2021-08-10 08:00:00,676,1.174,1.1736,1.1739,2021-08-10 11:00:00
14,514,Bear,1.1909,1.1896,1.1897,585,Bull,1.1877,1.1842,1.1851,590,Bear,1.19,1.1887,1.1892,648,Bull,1.1755,1.1742,1.1748,661,Bear,1.1769,1.1759,1.1761,687,Bull,1.1722,1.171,1.172,2021-07-30 17:00:00,2021-08-04 16:00:00,2021-08-04 21:00:00,2021-08-09 07:00:00,2021-08-09 20:00:00,2021-08-10 22:00:00,700,1.1726,1.1718,1.1719,2021-08-11 11:00:00
15,514,Bear,1.1909,1.1896,1.1897,610,Bull,1.1843,1.1828,1.1832,612,Bear,1.1857,1.1843,1.1855,648,Bull,1.1755,1.1742,1.1748,661,Bear,1.1769,1.1759,1.1761,687,Bull,1.1722,1.171,1.172,2021-07-30 17:00:00,2021-08-05 17:00:00,2021-08-05 19:00:00,2021-08-09 07:00:00,2021-08-09 20:00:00,2021-08-10 22:00:00,700,1.1726,1.1718,1.1719,2021-08-11 11:00:00
