,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,w0,w1,w2,w3,w4,w5,c_serial,c_high,c_low,c_close,c_time
0,326,Bull,1.3618,1.3572,1.3614,337,Bear,1.3642,1.363,1.3634,343,Bull,1.3617,1.3591,1.3616,374,Bear,1.3787,1.3764,1.3767,396,Bull,1.374,1.372,1.3735,425,Bear,1.3834,1.3824,1.3828,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-27 00:00:00,427,1.3823,1.3814,1.3814,2021-07-27 02:00:00
1,326,Bull,1.3618,1.3572,1.3614,337,Bear,1.3642,1.363,1.3634,343,Bull,1.3617,1.3591,1.3616,374,Bear,1.3787,1.3764,1.3767,396,Bull,1.374,1.372,1.3735,451,Bear,1.3894,1.3887,1.3887,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-28 02:00:00,457,1.389,1.3874,1.3877,2021-07-28 08:00:00
2,326,Bull,1.3618,1.3572,1.3614,337,Bear,1.3642,1.363,1.3634,343,Bull,1.3617,1.3591,1.3616,425,Bear,1.3834,1.3824,1.3828,441,Bull,1.3797,1.3767,1.3779,451,Bear,1.3894,1.3887,1.3887,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-27 00:00:00,2021-07-27 16:00:00,2021-07-28 02:00:00,457,1.389,1.3874,1.3877,2021-07-28 08:00:00
3,326,Bull,1.3618,1.3572,1.3614,337,Bear,1.3642,1.363,1.3634,343,Bull,1.3617,1.3591,1.3616,374,Bear,1.3787,1.3764,1.3767,396,Bull,1.374,1.372,1.3735,464,Bear,1.3895,1.387,1.3873,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-28 15:00:00,470,1.3879,1.3845,1.3849,2021-07-28 21:00:00
4,326,Bull,1.3618,1.3572,1.3614,337,Bear,1.3642,1.363,1.3634,343,Bull,1.3617,1.3591,1.3616,425,Bear,1.3834,1.3824,1.3828,441,Bull,1.3797,1.3767,1.3779,464,Bear,1.3895,1.387,1.3873,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-27 00:00:00,2021-07-27 16:00:00,2021-07-28 15:00:00,470,1.3879,1.3845,1.3849,2021-07-28 21:00:00
5,326,Bull,1.3618,1.3572,1.3614,337,Bear,1.3642,1.363,1.3634,343,Bull,1.3617,1.3591,1.3616,451,Bear,1.3894,1.3887,1.3887,462,Bull,1.3875,1.3864,1.3875,464,Bear,1.3895,1.387,1.3873,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-28 02:00:00,2021-07-28 13:00:00,2021-07-28 15:00:00,470,1.3879,1.3845,1.3849,2021-07-28 21:00:00
6,326,Bull,1.3618,1.3572,1.3614,374,Bear,1.3787,1.3764,1.3767,396,Bull,1.374,1.372,1.3735,451,Bear,1.3894,1.3887,1.3887,462,Bull,1.3875,1.3864,1.3875,464,Bear,1.3895,1.387,1.3873,2021-07-20 21:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-28 02:00:00,2021-07-28 13:00:00,2021-07-28 15:00:00,470,1.3879,1.3845,1.3849,2021-07-28 21:00:00
7,326,Bull,1.3618,1.3572,1.3614,425,Bear,1.3834,1.3824,1.3828,441,Bull,1.3797,1.3767,1.3779,451,Bear,1.3894,1.3887,1.3887,462,Bull,1.3875,1.3864,1.3875,464,Bear,1.3895,1.387,1.3873,2021-07-20 21:00:00,2021-07-27 00:00:00,2021-07-27 16:00:00,2021-07-28 02:00:00,2021-07-28 13:00:00,2021-07-28 15:00:00,470,1.3879,1.3845,1.3849,2021-07-28 21:00:00
8,343,Bull,1.3617,1.3591,1.3616,374,Bear,1.3787,1.3764,1.3767,396,Bull,1.374,1.372,1.3735,451,Bear,1.3894,1.3887,1.3887,462,Bull,1.3875,1.3864,1.3875,464,Bear,1.3895,1.387,1.3873,2021-07-21 14:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-28 02:00:00,2021-07-28 13:00:00,2021-07-28 15:00:00,470,1.3879,1.3845,1.3849,2021-07-28 21:00:00
9,343,Bull,1.3617,1.3591,1.3616,425,Bear,1.3834,1.3824,1.3828,441,Bull,1.3797,1.3767,1.3779,451,Bear,1.3894,1.3887,1.3887,462,Bull,1.3875,1.3864,1.3875,464,Bear,1.3895,1.387,1.3873,2021-07-21 14:00:00,2021-07-27 00:00:00,2021-07-27 16:00:00,2021-07-28 02:00:00,2021-07-28 13:00:00,2021-07-28 15:00:00,470,1.3879,1.3845,1.3849,2021-07-28 21:00:00
10,396,Bull,1.374,1.372,1.3735,425,Bear,1.3834,1.3824,1.3828,441,Bull,1.3797,1.3767,1.3779,451,Bear,1.3894,1.3887,1.3887,462,Bull,1.3875,1.3864,1.3875,464,Bear,1.3895,1.387,1.3873,2021-07-23 19:00:00,2021-07-27 00:00:00,2021-07-27 16:00:00,2021-07-28 02:00:00,2021-07-28 13:00:00,2021-07-28 15:00:00,470,1.3879,1.3845,1.3849,2021-07-28 21:00:00
11,326,Bull,1.3618,1.3572,1.3614,337,Bear,1.3642,1.363,1.3634,343,Bull,1.3617,1.3591,1.3616,425,Bear,1.3834,1.3824,1.3828,441,Bull,1.3797,1.3767,1.3779,495,Bear,1.3982,1.3964,1.3977,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-27 00:00:00,2021-07-27 16:00:00,2021-07-29 22:00:00,505,1.3964,1.3948,1.3949,2021-07-30 08:00:00
12,326,Bull,1.3618,1.3572,1.3614,337,Bear,1.3642,1.363,1.3634,343,Bull,1.3617,1.3591,1.3616,464,Bear,1.3895,1.387,1.3873,475,Bull,1.391,1.3844,1.3905,495,Bear,1.3982,1.3964,1.3977,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-28 15:00:00,2021-07-29 02:00:00,2021-07-29 22:00:00,505,1.3964,1.3948,1.3949,2021-07-30 08:00:00
13,326,Bull,1.3618,1.3572,1.3614,374,Bear,1.3787,1.3764,1.3767,396,Bull,1.374,1.372,1.3735,464,Bear,1.3895,1.387,1.3873,475,Bull,1.391,1.3844,1.3905,495,Bear,1.3982,1.3964,1.3977,2021-07-20 21:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-28 15:00:00,2021-07-29 02:00:00,2021-07-29 22:00:00,505,1.3964,1.3948,1.3949,2021-07-30 08:00:00
14,343,Bull,1.3617,1.3591,1.3616,374,Bear,1.3787,1.3764,1.3767,396,Bull,1.374,1.372,1.3735,464,Bear,1.3895,1.387,1.3873,475,Bull,1.391,1.3844,1.3905,495,Bear,1.3982,1.3964,1.3977,2021-07-21 14:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-28 15:00:00,2021-07-29 02:00:00,2021-07-29 22:00:00,505,1.3964,1.3948,1.3949,2021-07-30 08:00:00
15,396,Bull,1.374,1.372,1.3735,425,Bear,1.3834,1.3824,1.3828,441,Bull,1.3797,1.3767,1.3779,464,Bear,1.3895,1.387,1.3873,475,Bull,1.391,1.3844,1.3905,495,Bear,1.3982,1.3964,1.3977,2021-07-23 19:00:00,2021-07-27 00:00:00,2021-07-27 16:00:00,2021-07-28 15:00:00,2021-07-29 02:00:00,2021-07-29 22:00:00,505,1.3964,1.3948,1.3949,2021-07-30 08:00:00
16,326,Bull,1.3618,1.3572,1.3614,337,Bear,1.3642,1.363,1.3634,343,Bull,1.3617,1.3591,1.3616,425,Bear,1.3834,1.3824,1.3828,441,Bull,1.3797,1.3767,1.3779,514,Bear,1.3983,1.3967,1.3974,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-27 00:00:00,2021-07-27 16:00:00,2021-07-30 17:00:00,516,1.3975,1.3954,1.3956,2021-07-30 19:00:00
17,326,Bull,1.3618,1.3572,1.3614,337,Bear,1.3642,1.363,1.3634,343,Bull,1.3617,1.3591,1.3616,464,Bear,1.3895,1.387,1.3873,475,Bull,1.391,1.3844,1.3905,514,Bear,1.3983,1.3967,1.3974,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-28 15:00:00,2021-07-29 02:00:00,2021-07-30 17:00:00,516,1.3975,1.3954,1.3956,2021-07-30 19:00:00
18,326,Bull,1.3618,1.3572,1.3614,337,Bear,1.3642,1.363,1.3634,343,Bull,1.3617,1.3591,1.3616,495,Bear,1.3982,1.3964,1.3977,510,Bull,1.3949,1.3935,1.3939,514,Bear,1.3983,1.3967,1.3974,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-29 22:00:00,2021-07-30 13:00:00,2021-07-30 17:00:00,516,1.3975,1.3954,1.3956,2021-07-30 19:00:00
19,326,Bull,1.3618,1.3572,1.3614,374,Bear,1.3787,1.3764,1.3767,396,Bull,1.374,1.372,1.3735,464,Bear,1.3895,1.387,1.3873,475,Bull,1.391,1.3844,1.3905,514,Bear,1.3983,1.3967,1.3974,2021-07-20 21:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-28 15:00:00,2021-07-29 02:00:00,2021-07-30 17:00:00,516,1.3975,1.3954,1.3956,2021-07-30 19:00:00
20,326,Bull,1.3618,1.3572,1.3614,374,Bear,1.3787,1.3764,1.3767,396,Bull,1.374,1.372,1.3735,495,Bear,1.3982,1.3964,1.3977,510,Bull,1.3949,1.3935,1.3939,514,Bear,1.3983,1.3967,1.3974,2021-07-20 21:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-29 22:00:00,2021-07-30 13:00:00,2021-07-30 17:00:00,516,1.3975,1.3954,1.3956,2021-07-30 19:00:00
21,326,Bull,1.3618,1.3572,1.3614,425,Bear,1.3834,1.3824,1.3828,441,Bull,1.3797,1.3767,1.3779,495,Bear,1.3982,1.3964,1.3977,510,Bull,1.3949,1.3935,1.3939,514,Bear,1.3983,1.3967,1.3974,2021-07-20 21:00:00,2021-07-27 00:00:00,2021-07-27 16:00:00,2021-07-29 22:00:00,2021-07-30 13:00:00,2021-07-30 17:00:00,516,1.3975,1.3954,1.3956,2021-07-30 19:00:00
